id,availability,condition,title,color,description,image_link,link,price,sale_price,brand,google_product_category,InventoryStatus,IsHot,sellstart,schedule
MT1M21206CL47690,in stock,new,冰膚涼感厚磅純棉Tee (unisex),經典白,厚磅涼感冰膚棉/ Cotton Made 100%純棉/ 男女共穿/ 面料瞬間接觸降溫/ 耐洗不易起皺/ 舒適透氣經典素Tee,https://pic.pzcdn.tw/pazzo/ProductBasic/7795020f-a7e0-4f2c-b26a-b0bb20dec0cc.jpg,https://www.pazzo.com.tw/market/n/21206?c=47690,490.00 TWD,490.00 TWD,PAZZO,1604,Y,N,2024-04-14,20230731
MT1M22560CL51048,in stock,new,MIT PEANUTS ATHLEISURE CLUB方領BRATOP,黑,台灣製造/PAZZO自訂開發布料/SNOOPY刺繡造型/方型領口/內層牛奶絲面料/附可拆一片式上薄下厚胸墊,https://pic.pzcdn.tw/pazzo/ProductBasic/83320295-ad7b-41cf-b498-113434ad2c78.jpg,https://www.pazzo.com.tw/market/n/22560?c=51048,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-07-01,20240701
MT1M22577CL51084,in stock,new,Golden Smile刺繡顯瘦牛仔褲(佑妮聯名款),淺藍,經典洗舊刷色牛仔褲/ 長腿修身版型/ 側開岔設計拉長比例/ 手寫刺繡設計,https://pic.pzcdn.tw/pazzo/ProductBasic/898c31fe-9a5e-451f-acad-1714194aca87.jpg,https://www.pazzo.com.tw/market/n/22577?c=51084,1290.00 TWD,1290.00 TWD,PAZZO,1604,N,N,2024-08-27,20240818
MT1M22409CL50720,in stock,new,MIT 手繪版OUVERT SEOUL 聯名TEE,暗芥黃,台灣製造/ 品牌自訂開發布料/舒適厚磅棉質布料/手繪印花設計/寬鬆版型男女共穿,https://pic.pzcdn.tw/pazzo/ProductBasic/8a801176-e6a3-42f0-88ac-05a573c08173.jpg,https://www.pazzo.com.tw/market/n/22409?c=50720,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-06-02,20240719
MT1M22225CL50317,in stock,new,立體球球串珠耳環,金,韓國直送/ 針式耳環/立體串珠造型,https://pic.pzcdn.tw/pazzo/ProductBasic/8f47cd94-8d9e-417e-b3cd-b945960224d7.jpg,https://www.pazzo.com.tw/market/n/22225?c=50317,390.00 TWD,299.00 TWD,PAZZO,1604,N,N,2024-07-01,20240701
MT1M21321CL47984,in stock,new,MIT ORDINARY DOG厚磅印花Tee,鐵灰,MIT台灣製造/ 舒適厚磅棉質布料/hoohoo印花tee,https://pic.pzcdn.tw/pazzo/ProductBasic/91f61822-1d13-4450-a4c6-0b757c183cc9.jpg,https://www.pazzo.com.tw/market/n/21321?c=47984,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-08-01,20230807
MT1M22307CL50506,in stock,new,MIT涼感美背可拆式平口BRA TOP(牛奶絲),灰藍,MIT台灣製造/ 舒適親膚涼感抗UV布料/牛奶絲升級版/ 可調、可拆式肩帶 / 領口內貼鬆緊帶防止滑落/ 一體成形不可拆罩杯，不易跑杯/ 罩杯上薄下厚，胸型自然,https://pic.pzcdn.tw/pazzo/ProductBasic/9474fc75-111b-4434-ae69-4a21883f4a1a.jpg,https://www.pazzo.com.tw/market/n/22307?c=50506,590.00 TWD,590.00 TWD,PAZZO,1604,N,N,2024-05-27,20240527
MT1M22528CL50962,in stock,new,MIT日常舒適圓領TEE,黑,台灣製造/PAZZO自訂開發布料/日常基礎TEE,https://pic.pzcdn.tw/pazzo/ProductBasic/9aebb3d8-2b85-4366-bb42-79e2e9e48fd7.jpg,https://www.pazzo.com.tw/market/n/22528?c=50962,490.00 TWD,299.00 TWD,PAZZO,1604,N,N,2024-07-01,20240701
MT1M21388CL48154,in stock,new,MIT U領連釦羅紋外套,深麻灰,MIT台灣製造/ 品牌自訂開發布料/ 舒適親膚羅紋布料/ 連釦設計/ 真開釦設計,https://pic.pzcdn.tw/pazzo/ProductBasic/51f99e77-a45b-47d9-8782-dda1dd4622e6.jpg,https://www.pazzo.com.tw/market/n/21388?c=48154,590.00 TWD,590.00 TWD,PAZZO,1604,Y,N,2023-10-05,20230911
MT1M21106CL47481,in stock,new,時髦顯瘦工裝牛仔褲,淺藍,大口袋工裝元素設計/ 舒適牛仔褲料/ 顯瘦修飾剪裁,https://pic.pzcdn.tw/pazzo/ProductBasic/5c5bae2e-5214-42a1-9778-f8b30d751a96.jpg,https://www.pazzo.com.tw/market/n/21106?c=47481,890.00 TWD,890.00 TWD,PAZZO,1604,N,N,2023-09-29,20230807
