id,availability,condition,description,image_link,link,title,price,sale_price,gtin,mpn,brand,google_product_category,item_group_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
2131823012,"available for order",new,"材質:40%棉57%聚酯纖維3%彈性纖維綸內裡:無 產地:中國商品描述: 腰側邊鬆緊，修飾臀部不再因過多的鬆緊顯的拋拋的/前開衩設計/附口袋商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2131823012/2131823012-008-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=23&pp2=1&pp3=4&yano=2131823012&yacolor=008,長腿CEO修臀顯瘦前開衩西裝微喇叭褲,"790 TWD","790 TWD",,,Airspace,,,企劃系列,OL,特殊企劃,,
2230124040,"available for order",new,"材質:上節:100%聚酯纖維 下節:95%聚酯纖維 5% 彈性纖維 內裡:無 產地:中國商品描述: 後附拉鏈/ 後腰附鬆緊商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2230124040/2230124040-006-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=09&pp2=01&pp3=16&yano=2230124040&yacolor=006,V領蕾絲透膚寬袖短洋裝,"990 TWD","644 TWD",,,Airspace,,,新品上市,AS,熱銷推薦,,特價品
2140121039,"available for order",new,"材質:66%棉28%聚酯纖維6%彈性纖維內裡:無 產地:中國商品描述:排釦假門襟設計/ 可拆式一片式胸墊/ 胸下鬆緊設計/ 蓄熱雙絨面料※ 注意：1. 建議放入洗衣袋後以柔洗模式清洗2. 由於面料經過特殊加工透過纖維和纖維之間的空隙保存熱量，清洗時如有毛絮屬正常現象商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2140121039/2140121039-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=02&yano=2140121039&yacolor=001,"WARM↑UP爆乳輕絨排釦短版發熱BRA TOP","590 TWD","590 TWD",,,Airspace,,,服飾,AS,上身,,
2230199013,"available for order",new,"●鞋面材質：PU●鞋墊材質：PU●內里材質：PU+萊卡網布●筒高高度：筒高(不含拉耳)14.5吋=37CM#36碼筒圍約35.5CM (靴筒一圈位置)每增減一碼即增減約0.6公分●商品尺寸：35~41《此款鞋版正常，請拿平時所穿尺碼選購》",https://photo.airspaceonline.com/photo/2230199013/2230199013-017-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=05&pp2=13&pp3=02&yano=2230199013&yacolor=017,率性剪裁方頭低跟長靴,"1580 TWD","1248 TWD",,,Airspace,,,鞋款/配件,AS,跟高分類,,特價品
2140826008,"available for order",new,"材質:95%聚酯纖維5%彈性纖維內裡:有 產地:中國商品描述:帽沿毛毛可拆/ 拉鍊設計/下擺彈性調節設計/附口袋商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2140826008/2140826008-006-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=08&pp2=01&pp3=05&yano=2140826008&yacolor=006,雲朵澎澎保暖羽絨外套,"1980 TWD","1980 TWD",,,Airspace,,,"AIR SPACE PLUS","A PLUS",上身,,特價品
2231823012,"available for order",new,"材質:94%人造棉6%麻 內裡:無 商品描述:腰側附可調整鈕扣鬆緊帶’修飾臀部不再因過多的鬆緊顯的拋拋的/ 附口袋材質:94%人造棉6%麻 內裡:無 產地:中國商品描述:腰側附可調整鈕扣鬆緊帶’修飾臀部不再因過多的鬆緊顯的拋拋的/ 附口袋商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2231823012/2231823012-006-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=23&pp2=1&pp3=4&yano=2231823012&yacolor=006,高訂系CEO隱形鬆緊西裝短褲,"690 TWD","690 TWD",,,Airspace,,,企劃系列,OL,特殊企劃,,
2220121001,"available for order",new,"材質:100%縲縈內裡:無 產地:中國商品描述:高斜邊設計，完美包覆副乳商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2220121001/2220121001-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=01&yano=2220121001&yacolor=001,副乳救星短版坑紋背心,"390 TWD","390 TWD",,,Airspace,,,服飾,AS,上身,,
2130824010,"available for order",new,"材質:30%棉70%聚酯織維內裡:無 產地:中國商品描述:腰圍附鬆緊/側開衩設計/ 前拉鍊設計/前口袋設計商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2130824010/2130824010-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=08&pp2=03&pp3=05&yano=2130824010&yacolor=001,慵懶側開衩連帽長洋裝,"990 TWD","990 TWD",,,Airspace,,,"AIR SPACE PLUS","A PLUS",洋裝/套裝,,
2220110032,"available for order",new,"材質:表裡材質：20%萊卡 80%尼龍纖維夾層材質：77%尼龍 23% 彈性纖維罩杯：100%PU FOAM內裡: 有 產地:中國商品描述:肩帶可調/杯內藏塑胸片，舒適集中/專利愛心矽膠止滑設計/專利愛心矽膠止滑設計/ C型撥撥胸墊設計/雙層主面料設計，不易透光/高壓強塑網撫平小腹，完美收腹商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2220110032/2220110032-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=10&pp2=01&pp3=05&yano=2220110032&yacolor=001,【TIFFANY聯名】細肩交叉拼紗塑腹美胸連身泳衣,"2480 TWD","2480 TWD",,,Airspace,,,比基尼,AS,泳裝,,特價品
2230121007,"available for order",new,"材質:100%聚酯纖維內裡:無 商品描述:可正常穿或一字領穿/鍊條可拆/下擺彈性鬆緊/開釦設計商品平量尺寸表身形尺寸對照表※ 顏色請參考單品圖片較為接近，但因圖檔顏色會因個人電腦螢幕設定差異略有不同，請以實際商品顏色為準。※ 請將深色衣物與淺色衣物分開洗滌。",https://photo.airspaceonline.com/photo/2230121007/2230121007-001-01.jpg,https://www.airspaceonline.com/PDContent.asp?pp1=02&pp2=01&pp3=03&yano=2230121007&yacolor=001,2WAY時髦珠鍊假兩件短版襯衫,"690 TWD","690 TWD",,,Airspace,,,服飾,AS,上身,,
